Station_ID	Record_Type	Latitude	Elevation_ft	Date	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
									
DAN	daily	37.897	9800	1980-11-01	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-02	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-03	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-04	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-05	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-06	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-07	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-08	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-09	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-10	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-11	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-12	11	0.7	_		_
DAN	daily	37.897	9800	1980-11-13	11	1.3	_		_
DAN	daily	37.897	9800	1980-11-14	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-15	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-16	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-17	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-18	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-19	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-20	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-21	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-22	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-23	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-24	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-25	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-26	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-27	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-28	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-29	11	2.6	_		_
DAN	daily	37.897	9800	1980-11-30	11	2.6	_		_
DAN	daily	37.897	9800	1980-12-01	12	2.6	_		_
DAN	daily	37.897	9800	1980-12-02	12	2.6	_		_
DAN	daily	37.897	9800	1980-12-03	12	2.6	_		_
DAN	daily	37.897	9800	1980-12-04	12	3.5	_		_
DAN	daily	37.897	9800	1980-12-05	12	5.1	_		_
DAN	daily	37.897	9800	1980-12-06	12	5.1	_		_
DAN	daily	37.897	9800	1980-12-07	12	5.1	_		_
DAN	daily	37.897	9800	1980-12-08	12	5.1	_		_
DAN	daily	37.897	9800	1980-12-09	12	5.1	_		_
DAN	daily	37.897	9800	1980-12-10	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-11	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-12	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-13	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-14	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-15	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-16	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-17	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-18	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-19	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-20	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-21	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-22	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-23	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-24	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-25	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-26	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-27	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-28	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-29	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-30	12	7.1	_		_
DAN	daily	37.897	9800	1980-12-31	12	7.1	_		_
DAN	daily	37.897	9800	1981-01-01	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-02	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-03	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-04	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-05	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-06	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-07	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-08	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-09	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-10	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-11	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-12	1	7.1	_		_
DAN	daily	37.897	9800	1981-01-13	1	7.3	_		_
DAN	daily	37.897	9800	1981-01-14	1	7.4	_		_
DAN	daily	37.897	9800	1981-01-15	1	7.6	_		_
DAN	daily	37.897	9800	1981-01-16	1	7.7	_		_
DAN	daily	37.897	9800	1981-01-17	1	7.9	_		_
DAN	daily	37.897	9800	1981-01-18	1	8	_		_
DAN	daily	37.897	9800	1981-01-19	1	8.2	_		_
DAN	daily	37.897	9800	1981-01-20	1	8.3	_		_
DAN	daily	37.897	9800	1981-01-21	1	8.5	_		_
DAN	daily	37.897	9800	1981-01-22	1	8.7	_		_
DAN	daily	37.897	9800	1981-01-23	1	8.8	_		_
DAN	daily	37.897	9800	1981-01-24	1	9	_		_
DAN	daily	37.897	9800	1981-01-25	1	9.1	_		_
DAN	daily	37.897	9800	1981-01-26	1	9.3	_		_
DAN	daily	37.897	9800	1981-01-27	1	9.4	_		_
DAN	daily	37.897	9800	1981-01-28	1	9.6	_		_
DAN	daily	37.897	9800	1981-01-29	1	9.8	_		_
DAN	daily	37.897	9800	1981-01-30	1	9.9	_		_
DAN	daily	37.897	9800	1981-01-31	1	10.1	_		_
DAN	daily	37.897	9800	1981-02-01	2	10.2	_		_
DAN	daily	37.897	9800	1981-02-02	2	10.4	_		_
DAN	daily	37.897	9800	1981-02-03	2	10.5	_		_
DAN	daily	37.897	9800	1981-02-04	2	10.7	_		_
DAN	daily	37.897	9800	1981-02-05	2	10.8	_		_
DAN	daily	37.897	9800	1981-02-06	2	11	_		_
DAN	daily	37.897	9800	1981-02-07	2	11	_		_
DAN	daily	37.897	9800	1981-02-08	2	11	_		_
DAN	daily	37.897	9800	1981-02-09	2	11.1	_		_
DAN	daily	37.897	9800	1981-02-10	2	11.2	_		_
DAN	daily	37.897	9800	1981-02-11	2	11.4	_		_
DAN	daily	37.897	9800	1981-02-12	2	11.5	_		_
DAN	daily	37.897	9800	1981-02-13	2	11.6	_		_
DAN	daily	37.897	9800	1981-02-14	2	11.7	_		_
DAN	daily	37.897	9800	1981-02-15	2	11.8	_		_
DAN	daily	37.897	9800	1981-02-16	2	11.9	_		_
DAN	daily	37.897	9800	1981-02-17	2	12.1	_		_
DAN	daily	37.897	9800	1981-02-18	2	12.2	_		_
DAN	daily	37.897	9800	1981-02-19	2	12.3	_		_
DAN	daily	37.897	9800	1981-02-20	2	12.4	_		_
DAN	daily	37.897	9800	1981-02-21	2	12.5	_		_
DAN	daily	37.897	9800	1981-02-22	2	12.6	_		_
DAN	daily	37.897	9800	1981-02-23	2	12.8	_		_
DAN	daily	37.897	9800	1981-02-24	2	12.9	_		_
DAN	daily	37.897	9800	1981-02-25	2	13	_		_
DAN	daily	37.897	9800	1981-02-26	2	13	_		_
DAN	daily	37.897	9800	1981-02-27	2	13	_		_
DAN	daily	37.897	9800	1981-02-28	2	13	_		_
DAN	daily	37.897	9800	1981-03-01	3	13	_		_
DAN	daily	37.897	9800	1981-03-02	3	13	_		_
DAN	daily	37.897	9800	1981-03-03	3	14	_		_
DAN	daily	37.897	9800	1981-03-04	3	14	_		_
DAN	daily	37.897	9800	1981-03-05	3	14	_		_
DAN	daily	37.897	9800	1981-03-06	3	14	_		_
DAN	daily	37.897	9800	1981-03-07	3	14	_		_
DAN	daily	37.897	9800	1981-03-08	3	14	_		_
DAN	daily	37.897	9800	1981-03-09	3	14	_		_
DAN	daily	37.897	9800	1981-03-10	3	14	_		_
DAN	daily	37.897	9800	1981-03-11	3	14	_		_
DAN	daily	37.897	9800	1981-03-12	3	14	_		_
DAN	daily	37.897	9800	1981-03-13	3	14	_		_
DAN	daily	37.897	9800	1981-03-14	3	14.7	_		_
DAN	daily	37.897	9800	1981-03-15	3	15.4	_		_
DAN	daily	37.897	9800	1981-03-16	3	16.1	_		_
DAN	daily	37.897	9800	1981-03-17	3	16.7	_		_
DAN	daily	37.897	9800	1981-03-18	3	17.4	_		_
DAN	daily	37.897	9800	1981-03-19	3	18.1	_		_
DAN	daily	37.897	9800	1981-03-20	3	18.8	_		_
DAN	daily	37.897	9800	1981-03-21	3	19.5	_		_
DAN	daily	37.897	9800	1981-03-22	3	20.2	_		_
DAN	daily	37.897	9800	1981-03-23	3	20.9	_		_
DAN	daily	37.897	9800	1981-03-24	3	21.6	_		_
DAN	daily	37.897	9800	1981-03-25	3	22.2	_		_
DAN	daily	37.897	9800	1981-03-26	3	22.9	_		_
DAN	daily	37.897	9800	1981-03-27	3	23.6	_		_
DAN	daily	37.897	9800	1981-03-28	3	24.3	_		_
DAN	daily	37.897	9800	1981-03-29	3	25	_		_
DAN	daily	37.897	9800	1981-03-30	3	25	_		_
DAN	daily	37.897	9800	1981-03-31	3	25	_		_
DAN	daily	37.897	9800	1981-04-01	4	25	_		_
DAN	daily	37.897	9800	1981-04-02	4	25	_		_
DAN	daily	37.897	9800	1981-04-03	4	25	_		_
DAN	daily	37.897	9800	1981-04-04	4	25	_		_
DAN	daily	37.897	9800	1981-04-05	4	25	_		_
DAN	daily	37.897	9800	1981-04-06	4	25	_		_
DAN	daily	37.897	9800	1981-04-07	4	25	_		_
DAN	daily	37.897	9800	1981-04-08	4	25	_		_
DAN	daily	37.897	9800	1981-04-09	4	25	_		_
DAN	daily	37.897	9800	1981-04-10	4	25	_		_
DAN	daily	37.897	9800	1981-04-11	4	24.5	_		_
DAN	daily	37.897	9800	1981-04-12	4	23.9	_		_
DAN	daily	37.897	9800	1981-04-13	4	23.4	_		_
DAN	daily	37.897	9800	1981-04-14	4	22.8	_		_
DAN	daily	37.897	9800	1981-04-15	4	22.3	_		_
DAN	daily	37.897	9800	1981-04-16	4	21.8	_		_
DAN	daily	37.897	9800	1981-04-17	4	21.2	_		_
DAN	daily	37.897	9800	1981-04-18	4	20.7	_		_
DAN	daily	37.897	9800	1981-04-19	4	20.2	_		_
DAN	daily	37.897	9800	1981-04-20	4	19.6	_		_
DAN	daily	37.897	9800	1981-04-21	4	19.1	_		_
DAN	daily	37.897	9800	1981-04-22	4	18.5	_		_
DAN	daily	37.897	9800	1981-04-23	4	18	_		_
DAN	daily	37.897	9800	1981-04-24	4	16.5	_		_
DAN	daily	37.897	9800	1981-04-25	4	15	_		_
DAN	daily	37.897	9800	1981-04-26	4	13.5	_		_
DAN	daily	37.897	9800	1981-04-27	4	12	_		_
DAN	daily	37.897	9800	1981-04-28	4	10.5	_		_
DAN	daily	37.897	9800	1981-04-29	4	9	_		_
DAN	daily	37.897	9800	1981-04-30	4	7.5	_		_
DAN	daily	37.897	9800	1981-05-01	5	6	_		_
DAN	daily	37.897	9800	1981-05-02	5	4.5	_		_
